"DISCOUNT_ID","DISCOUNT_CODE","DESCRIPTION","TAG","DISCOUNT_START_DATE","DISCOUNT_END_DATE","needsOffers?","CNT"
"41875","AC194CHLI","Free Pro Install for CHL when adding internet service","","07-Jan-20","29-Jun-20","YES","0","true"
"41855","AC194TM12","$10 Premier Phone for 12 mo. + Free Install","","07-Jan-20","29-Jun-20","YES","0","true"
"42033","EMP194PRM","Employee Panael Replacement Module Trial","","15-Jan-20","31-Mar-20","NO","0","false"
"42163","CHC201TMRC","Employee Trial - Free CHC Home Service Free for 6 mo","","30-Jan-20","31-Dec-20","NO","0","false"
"42162","CHC201TOTC","Employee Trial - Free CHC Equipment","","30-Jan-20","31-Dec-20","NO","0","false"
"42064","RECAMP1PD1","1P Data Preferred or above for 12 mos 				","","01-Feb-20","31-Dec-25","NO","0","false"
"42065","RECAMP2PA1","Any 2P of <Essn TV, <Pref50 Data, CDT for 12 mos			","","01-Feb-20","31-Dec-25","NO","0","false"
"42066","RECAMP2PE","2P CHL + 1 of <Essn TV or <Pref50 CHSI for 12 mos						","","01-Feb-20","31-Dec-25","NO","0","false"
"42067","RECAMP2PF","2P CHL + 1 of >=(Essn TV, Pref CHSI) for 12 mos","","01-Feb-20","31-Dec-25","NO","0","false"
"42068","RECAMP3PE","3P CHL + 2 of <Essn TV, <Pref50 CHSI, CDT for 12 mos","","01-Feb-20","31-Dec-25","NO","0","false"
"42069","RECAMP3PF","3P CHL + 2 of <Essn TV, >= Pref50 CHSI, CDT for 12 mos","","01-Feb-20","31-Dec-25","NO","0","false"
"42070","RECAMP3PG","3P CHL + 2 of >= Essn TV, <Pref50 CHSI, CDT for 12 mos","","01-Feb-20","31-Dec-25","NO","0","false"
"42071","RECAMP3PH","3P CHL + 2 of >= Essn TV, >= Pref50 CHSI, CDT for 12 mos","","01-Feb-20","31-Dec-25","NO","0","false"
"42072","RECAMP4PA","4P CHL + <Essn TV + <Pref50 CHSI + CDT for 12 mos","","01-Feb-20","31-Dec-25","NO","0","false"
"42073","RECAMP4PB","4P CHL + <Essn TV + >=Pref50 CHSI + CDT for 12 mos","","01-Feb-20","31-Dec-25","NO","0","false"
"42074","RECAMP4PC","4P CHL + >=Essn TV + <Pref50 CHSI + CDT for 12 mos","","01-Feb-20","31-Dec-25","NO","0","false"
"42075","RECAMP4PD","4P CHL + >=Essn TV + >=Pref50 CHSI + CDT for 12 mos","","01-Feb-20","31-Dec-25","NO","0","false"
"42076","REPLG2PH","2P PLG Renew CHL + (V or D) for 12 mos w/2Yr $240 ETF S/A","","01-Feb-20","31-Dec-25","NO","0","false"
"42077","REPLG3PH","3P PLG Renew CHL + Video + CHSI 12mos w/2Yr $240 ETF S/A				","","01-Feb-20","31-Dec-25","NO","0","false"
"42078","REPLG4P","4P PLG Renew CHL, Video, CHSI, CDT 12m w/2Yr $240 ETF S/A","","01-Feb-20","31-Dec-25","NO","0","false"
"42115","RDMAX0212","2P VD $2.50 Off TV Str + CHSI Ess min 12 mo","","21-Feb-20","31-Dec-20","YES","0","true"
"42261","BU201DPI","Free Pro Connect for Bulk Internet Services","","02-Mar-20","31-Dec-20","NO","0","false"
"42262","BU201VDPI","Free Pro Connect for Bulk Video + Internet Services","","02-Mar-20","31-Dec-20","NO","0","false"
"42260","BU201VPI","Free Pro Connect for Bulk Video Services","","02-Mar-20","31-Dec-20","NO","0","false"
"42330","AC201FDUB","Free Data Usage for 2 months","","16-Mar-20","16-May-20","NO","0","false"
"42318","C2COMPETEF","Free 1st 2mo. C2C Internet","","16-Mar-20","30-Jun-20","NO","0","false"
"42331","EMP201WFHI","Employee Offer - Free Pro Install for WFH","","16-Mar-20","16-May-20","NO","0","false"
"42190","SNLD2CSP15","Seasonal CSHI + CSP + CDT $15.99 up to 9 mos			","","17-Mar-20","31-Dec-21",,"0","true"
"42188","SNLD2CSP9","Seasonal CHSI + CSP + CDT Last Resort $9.99 up to 9 mos				","","17-Mar-20","31-Dec-21",,"0","true"
"42285","SNLDCSP00","Seasonal CSP only Free up to 9 mos			","","17-Mar-20","31-Dec-21",,"0","true"
"42189","SNLDDCSP9","Seasonal CHSI + CSP $9.99 up to 9 mos				","","17-Mar-20","31-Dec-21",,"0","true"
"42389","EMP201DU2","EMPLOYEES ONLY - Free Ultimate or 1 GIG data for 60 days","","26-Mar-20","01-May-20",,"0","true"
"42263","AC201VX12U","$5 Record 2 C2 DVR service for 12 mo.","","31-Mar-20","29-Jun-20",,"0","true"
"42276","CHL201SEC","CHL Free Security Base Kit","","31-Mar-20","29-Jun-20",,"0","true"
"42174","SP012P50PI","$50 Pro Connect for any 2P going to 4P","","31-Mar-20","29-Jun-20",,"0","true"
"42169","SP01DTC1FP","Free Pro Connect for 1P C1 Video Upgrade","","31-Mar-20","29-Jun-20",,"0","true"
"42170","SP01DTC2FP","Free Pro Connect for 1P C2 Video Upgrade","","31-Mar-20","29-Jun-20",,"0","true"
"42167","SP0DTC150I","$50 Pro Connect for 1P C1 Video Upgrade","","31-Mar-20","29-Jun-20",,"0","true"
"42168","SP0DTC250I","$50 Pro Connect for 1P C2 Video Upgrade","","31-Mar-20","29-Jun-20",,"0","true"
"42176","SP2012PFPI","Free Pro Connect for any 2P going to 4P","","31-Mar-20","29-Jun-20",,"0","true"
"42177","TR2012PPI","Transfer Offer - $50 Pro Connect for 2P","","31-Mar-20","29-Jun-20",,"0","true"
"42179","TR20134PPI","Transfer Offer - Free Pro Connect for 3P/4P Transfers","","31-Mar-20","29-Jun-20",,"0","true"
"42178","TR2013PPI","Transfer Offer - $25 Pro Connect for 3P","","31-Mar-20","29-Jun-20",,"0","true"
"42227","TR201C4PPI","Transfer Offer - Free Pro Connect for 4P CSP Transfers","","31-Mar-20","29-Jun-20",,"0","true"
"42166","AV011CR24","Accessible Video - Discounted C2 HD receiver","","01-Apr-20","31-Mar-22",,"0","true"
"42191","AC201DE12U","$29.99 str/$39.99 Ess/$59.99 P150/$79.99 ULT for 12 mo","","30-Apr-20","29-Jun-20",,"0","false"
"42192","AC201DE24U","$29.99 str/$39.99 Ess/$59.99 P150/$79.99 ULT for 24 mo","","30-Apr-20","29-Jun-20",,"0","false"
"42193","AC201DP12U","Uptier to Ult Data from Pref/Pref150 for addl $10/mo 12mo","","30-Apr-20","29-Jun-20",,"0","false"
"42196","AC201DP24","$44.99 P150, $59.99 Ult., $79.99 Gig & Pano for 24 mo.","","30-Apr-20","29-Jun-20",,"0","false"
"42197","AC201DS12","$19.99 Str/$29.99 Ess/$49.99 Pref150/$69.99 Ult 12 mo/1yr SA","","30-Apr-20","29-Jun-20",,"0","false"
"42199","AC201DS12","$29.99 Str/$39.99 Ess/$59.99 Pref150/$79.99 Ult 12 mo/1yr SA","","30-Apr-20","29-Jun-20",,"0","false"
"42201","AC201DS12N","$29.99 Str/$39.99 Ess/$59.99 Pref150/$79.99 Ult 12 mo.","","30-Apr-20","29-Jun-20",,"0","false"
"42204","AC201DS12N","$39.99 Str/$49.99 Ess/$69.99 Pref150/$89.99 Ult 12 mo.","","30-Apr-20","29-Jun-20",,"0","false"
